"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.724241150E-1,-1.901893973E0,8.139687538E0,4.675876141E0,9.577866756E0
1.743983850E-1,-1.887528777E0,8.134899139E0,4.656722069E0,9.561611230E0
1.763726560E-1,-1.877951980E0,8.120533943E0,4.635174274E0,9.537012935E0
1.783469270E-1,-1.875557780E0,8.101380348E0,4.613626480E0,9.509764972E0
1.803211980E-1,-1.873163581E0,8.079832077E0,4.594472885E0,9.481645917E0
1.822954690E-1,-1.873163581E0,8.067861557E0,4.580107689E0,9.464487220E0
1.842697400E-1,-1.882740378E0,8.065466881E0,4.582501888E0,9.465505316E0
1.862440100E-1,-1.899499774E0,8.065466881E0,4.596867085E0,9.475813548E0
1.882182810E-1,-1.923441768E0,8.065466881E0,4.623203278E0,9.493439460E0
1.901925520E-1,-1.947383761E0,8.077438354E0,4.680664539E0,9.536557786E0
1.921668230E-1,-1.978807688E0,8.094197273E0,4.757278919E0,9.594968060E0
1.941410940E-1,-2.017114878E0,8.110957146E0,4.836586475E0,9.656549435E0
1.961153650E-1,-2.057816267E0,8.120533943E0,4.915595531E0,9.712917108E0
1.981153650E-1,-2.088941097E0,8.132504463E0,4.996998310E0,9.770941401E0
2.001153650E-1,-2.110488892E0,8.156745911E0,5.076006889E0,9.836285536E0
2.021153650E-1,-2.127248287E0,8.180687904E0,5.145438671E0,9.895674761E0
2.041153650E-1,-2.139219284E0,8.192659378E0,5.205293655E0,9.939366623E0
2.061153650E-1,-2.139219284E0,8.192659378E0,5.253177643E0,9.964527193E0
2.081153650E-1,-2.129642487E0,8.185476303E0,5.298667431E0,9.980645068E0
2.101153650E-1,-2.117671490E0,8.173505783E0,5.334879875E0,9.987575912E0
2.121153650E-1,-2.100912094E0,8.161534309E0,5.346850872E0,9.980645678E0
2.141153650E-1,-2.079364061E0,8.147169113E0,5.351639271E0,9.966953514E0
2.161153650E-1,-2.045845270E0,8.130110741E0,5.349245071E0,9.944777844E0
2.181153650E-1,-2.007538080E0,8.106168747E0,5.342062473E0,9.913516650E0
2.201153650E-1,-1.974019289E0,8.087015152E0,5.327397823E0,9.883204632E0
2.221153650E-1,-1.935412765E0,8.075043678E0,5.301061630E0,9.851568778E0
2.241153650E-1,-1.887528777E0,8.058284760E0,5.265148640E0,9.809205286E0
2.261153650E-1,-1.830067873E0,8.041524887E0,5.212476254E0,9.756289234E0
2.281153650E-1,-1.777395487E0,8.024765968E0,5.152621269E0,9.700799426E0
2.301153650E-1,-1.736694098E0,8.024765968E0,5.092766285E0,9.661741234E0
2.321153650E-1,-1.693598390E0,8.031948090E0,5.028122902E0,9.626135545E0
2.341153650E-1,-1.660079598E0,8.034342766E0,4.973056316E0,9.593634196E0
2.361153650E-1,-1.633743405E0,8.041524887E0,4.932354927E0,9.574098660E0
2.381153650E-1,-1.619378209E0,8.048707962E0,4.903624535E0,9.562929427E0
2.401153650E-1,-1.612195611E0,8.058284760E0,4.879682541E0,9.557532613E0
2.421153650E-1,-1.607407212E0,8.063073158E0,4.870105743E0,9.555879690E0
2.441153650E-1,-1.609801412E0,8.067861557E0,4.872499943E0,9.561543096E0
2.461153650E-1,-1.616984010E0,8.079832077E0,4.882076740E0,9.577734439E0
2.481153650E-1,-1.619378209E0,8.087015152E0,4.894047737E0,9.590302555E0
2.501153650E-1,-1.628955007E0,8.082226753E0,4.910807133E0,9.596453011E0
2.521153650E-1,-1.638531804E0,8.075043678E0,4.920383930E0,9.596941956E0
2.541153650E-1,-1.655291200E0,8.067861557E0,4.915595531E0,9.591322041E0
2.561153650E-1,-1.674444795E0,8.055890083E0,4.908412933E0,9.580900163E0
2.581153650E-1,-1.681627393E0,8.043919563E0,4.910807133E0,9.573324361E0
2.601153650E-1,-1.686415792E0,8.039131165E0,4.922778130E0,9.576292216E0
2.621153650E-1,-1.695992589E0,8.046313286E0,4.937143326E0,9.591398885E0
2.641153650E-1,-1.705569386E0,8.058284760E0,4.953902721E0,9.611767391E0
2.661153650E-1,-1.705569386E0,8.067861557E0,4.975450516E0,9.630911944E0
2.681153650E-1,-1.695992589E0,8.072649956E0,5.011363506E0,9.651830519E0
2.701153650E-1,-1.686415792E0,8.079832077E0,5.054459095E0,9.678597076E0
2.721153650E-1,-1.676838994E0,8.089408875E0,5.097554684E0,9.707491370E0
2.741153650E-1,-1.681627393E0,8.103774071E0,5.140650272E0,9.742962080E0
2.761153650E-1,-1.693598390E0,8.125322342E0,5.178957462E0,9.783186549E0
2.781153650E-1,-1.707963586E0,8.147169113E0,5.210082054E0,9.820308507E0
2.801153650E-1,-1.722328901E0,8.159140587E0,5.243600845E0,9.850550329E0
2.821153650E-1,-1.736694098E0,8.166322708E0,5.269937038E0,9.873052687E0
2.841153650E-1,-1.755847692E0,8.173505783E0,5.291484833E0,9.893887489E0
2.861153650E-1,-1.765424490E0,8.183082581E0,5.310638428E0,9.913750282E0
2.881153650E-1,-1.767818689E0,8.187870979E0,5.329792023E0,9.928398516E0
2.901153650E-1,-1.775001287E0,8.192659378E0,5.344456673E0,9.941504634E0
2.921153650E-1,-1.779789686E0,8.187870979E0,5.361216068E0,9.947437873E0
2.941153650E-1,-1.770212889E0,8.183082581E0,5.375581264E0,9.949541101E0
2.961153650E-1,-1.760636091E0,8.178294182E0,5.380369663E0,9.946492491E0
2.981153650E-1,-1.753453493E0,8.171111107E0,5.373187065E0,9.935431300E0
3.001153650E-1,-1.748665094E0,8.159140587E0,5.361216068E0,9.918268118E0
3.021153650E-1,-1.739088297E0,8.154352188E0,5.344456673E0,9.903590502E0
3.041153650E-1,-1.734299898E0,8.149562836E0,5.317821026E0,9.884451983E0
3.061153650E-1,-1.724723101E0,8.139687538E0,5.286696434E0,9.857907596E0
3.081153650E-1,-1.710357785E0,8.125322342E0,5.260360241E0,9.829424031E0
3.101153650E-1,-1.695992589E0,8.120533943E0,5.241206646E0,9.812732009E0
3.121153650E-1,-1.686415792E0,8.125322342E0,5.224447250E0,9.806105774E0
3.141153650E-1,-1.686415792E0,8.132504463E0,5.202899456E0,9.800601503E0
3.161153650E-1,-1.693598390E0,8.134899139E0,5.174169064E0,9.788609963E0
3.181153650E-1,-1.698386788E0,8.132504463E0,5.138256073E0,9.768511760E0
3.201153650E-1,-1.700780988E0,8.137292862E0,5.107131481E0,9.756586650E0
3.221153650E-1,-1.705569386E0,8.147169113E0,5.064035892E0,9.743192034E0
3.241153650E-1,-1.722328901E0,8.159140587E0,5.011363506E0,9.728913411E0
3.261153650E-1,-1.741482496E0,8.171111107E0,4.961085320E0,9.716593310E0
3.281153650E-1,-1.758241892E0,8.178294182E0,4.922778130E0,9.706165813E0
3.301153650E-1,-1.770212889E0,8.175899506E0,4.898836136E0,9.694203520E0
3.321153650E-1,-1.779789686E0,8.175899506E0,4.879682541E0,9.686293706E0
3.341153650E-1,-1.786972284E0,8.185476303E0,4.867711544E0,9.689680486E0
3.361153650E-1,-1.794154882E0,8.197447777E0,4.867711544E0,9.701121454E0
3.381153650E-1,-1.803731680E0,8.211812973E0,4.867711544E0,9.715036590E0
3.401153650E-1,-1.822885275E0,8.223783493E0,4.870105743E0,9.729925777E0
3.421153650E-1,-1.832462072E0,8.230966568E0,4.870105743E0,9.737795328E0
3.441153650E-1,-1.842038989E0,8.240543365E0,4.870105743E0,9.747696782E0
3.461153650E-1,-1.854009986E0,8.250120163E0,4.872499943E0,9.759256704E0
3.481153650E-1,-1.870769382E0,8.250120163E0,4.870105743E0,9.761259690E0
3.501153650E-1,-1.877951980E0,8.247725487E0,4.858134747E0,9.754647741E0
3.521153650E-1,-1.873163581E0,8.247725487E0,4.843769550E0,9.746579962E0
3.541153650E-1,-1.861192584E0,8.245331764E0,4.841374874E0,9.741069983E0
3.561153650E-1,-1.854009986E0,8.242937088E0,4.848557949E0,9.741246278E0
3.581153650E-1,-1.844433188E0,8.233360291E0,4.843769550E0,9.728939249E0
3.601153650E-1,-1.825279474E0,8.216601372E0,4.824615479E0,9.701602846E0
3.621153650E-1,-1.813308477E0,8.199841499E0,4.812644482E0,9.679206329E0
3.641153650E-1,-1.808520079E0,8.185476303E0,4.800673485E0,9.660188046E0
3.661153650E-1,-1.798943281E0,8.166322708E0,4.791096687E0,9.637407897E0
3.681153650E-1,-1.779789686E0,8.149562836E0,4.788702488E0,9.618456075E0
3.701153650E-1,-1.760636091E0,8.134899139E0,4.793490887E0,9.604893458E0
3.721153650E-1,-1.746270895E0,8.122927666E0,4.810250282E0,9.600516844E0
3.741153650E-1,-1.734299898E0,8.113350868E0,4.822221279E0,9.596253254E0
3.761153650E-1,-1.717540503E0,8.108562469E0,4.831798077E0,9.594008722E0
3.781153650E-1,-1.700780988E0,8.106168747E0,4.841374874E0,9.593828141E0
3.801153650E-1,-1.688809991E0,8.106168747E0,4.848557949E0,9.595340803E0
3.821153650E-1,-1.681627393E0,8.108562469E0,4.853346348E0,9.598522114E0
3.841153650E-1,-1.686415792E0,8.108562469E0,4.855740547E0,9.600572889E0
3.861153650E-1,-1.698386788E0,8.106168747E0,4.855740547E0,9.600661732E0
3.881153650E-1,-1.707963586E0,8.106168747E0,4.855740547E0,9.602360524E0
3.901153650E-1,-1.710357785E0,8.113350868E0,4.860528946E0,9.611270868E0
3.921153650E-1,-1.719934702E0,8.127716064E0,4.870105743E0,9.629946716E0
3.941153650E-1,-1.734299898E0,8.147169113E0,4.867711544E0,9.647734261E0
3.961153650E-1,-1.753453493E0,8.161534309E0,4.858134747E0,9.658504783E0
3.981153650E-1,-1.770212889E0,8.178294182E0,4.853346348E0,9.673320018E0
4.001153650E-1,-1.779789686E0,8.192659378E0,4.853346348E0,9.687223017E0
4.021153650E-1,-1.779789686E0,8.204629898E0,4.858134747E0,9.699746198E0
4.041153650E-1,-1.775001287E0,8.218995094E0,4.865317345E0,9.714619025E0
4.061153650E-1,-1.775001287E0,8.226178169E0,4.870105743E0,9.723094507E0
4.081153650E-1,-1.779789686E0,8.226178169E0,4.874894142E0,9.726368875E0
4.101153650E-1,-1.779789686E0,8.228571892E0,4.882076740E0,9.731994657E0
4.121153650E-1,-1.782183886E0,8.230966568E0,4.879682541E0,9.733256996E0
4.141153650E-1,-1.791760683E0,8.238148689E0,4.877288342E0,9.739889206E0
4.161153650E-1,-1.796549082E0,8.242937088E0,4.874894142E0,9.743623214E0
4.181153650E-1,-1.798943281E0,8.240543365E0,4.872499943E0,9.740842242E0
4.201153650E-1,-1.808520079E0,8.228571892E0,4.872499943E0,9.732491764E0
4.221153650E-1,-1.825279474E0,8.216601372E0,4.870105743E0,9.724305282E0
4.241153650E-1,-1.854009986E0,8.214206696E0,4.867711544E0,9.726518408E0
4.261153650E-1,-1.887528777E0,8.216601372E0,4.867711544E0,9.734984266E0
4.281153650E-1,-1.925835967E0,8.218995094E0,4.862923145E0,9.742111991E0
4.301153650E-1,-1.959354758E0,8.221389771E0,4.850952148E0,9.744847745E0
4.321153650E-1,-1.988384485E0,8.223783493E0,4.846163750E0,9.750363629E0
4.341153650E-1,-2.012326479E0,8.223783493E0,4.850952148E0,9.757653896E0
4.361153650E-1,-2.036268473E0,8.228571892E0,4.858134747E0,9.770223021E0
4.381153650E-1,-2.067393064E0,8.247725487E0,4.872499943E0,9.800017627E0
4.401153650E-1,-2.088941097E0,8.269273758E0,4.891653538E0,9.832234625E0
4.421153650E-1,-2.096123695E0,8.274062157E0,4.922778130E0,9.853303184E0
4.441153650E-1,-2.093729496E0,8.269273758E0,4.975450516E0,9.875206303E0
4.461153650E-1,-2.081758261E0,8.271667480E0,5.030517101E0,9.902540213E0
4.481153650E-1,-2.076969862E0,8.276455879E0,5.073612690E0,9.927490693E0
4.501153650E-1,-2.084152699E0,8.278850555E0,5.109525681E0,9.949387502E0
4.521153650E-1,-2.088941097E0,8.276455879E0,5.135861874E0,9.961951316E0
4.541153650E-1,-2.081758261E0,8.264485359E0,5.150227070E0,9.957925215E0
4.561153650E-1,-2.060210466E0,8.240543365E0,5.147832870E0,9.932331317E0
4.581153650E-1,-2.024297476E0,8.216601372E0,5.135861874E0,9.898858296E0
4.601153650E-1,-1.978807688E0,8.199841499E0,5.121496677E0,9.868272832E0
4.621153650E-1,-1.937806964E0,8.180687904E0,5.114314079E0,9.840475543E0
4.641153650E-1,-1.904288173E0,8.154352188E0,5.095160484E0,9.802062712E0
4.661153650E-1,-1.863586783E0,8.130110741E0,5.056853294E0,9.754148943E0
4.681153650E-1,-1.818096876E0,8.113350868E0,5.008969307E0,9.706786908E0
4.701153650E-1,-1.779789686E0,8.098985672E0,4.951508522E0,9.658087641E0
4.721153650E-1,-1.751059294E0,8.082226753E0,4.898836136E0,9.611825707E0
4.741153650E-1,-1.731905699E0,8.067861557E0,4.858134747E0,9.575560593E0
4.761153650E-1,-1.727117300E0,8.067861557E0,4.829403877E0,9.560149898E0
4.781153650E-1,-1.719934702E0,8.077438354E0,4.812644482E0,9.558490082E0
4.801153650E-1,-1.717540503E0,8.087015152E0,4.795885086E0,9.557733686E0
4.821153650E-1,-1.719934702E0,8.098985672E0,4.781519890E0,9.561102277E0
4.841153650E-1,-1.719934702E0,8.110957146E0,4.774337292E0,9.567658949E0
